"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB TITLE","PDB ID","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB R","PDB Rfree","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA TEMPERATURE","PDB EXPDTA PH","PDB REMARK 350 Biomolecule 1 Chains","PDB REMARK 350 Biomolecule 1 Transformation 1","PDB REMARK 350 Biomolecule 2 Chains","PDB REMARK 350 Biomolecule 2 Transformation 1","Source Path","Source File","Source File Index","entry id backup","prepared","prepared with version","assigned bond orders","added hydrogens","created disulfur","converted selenomethionines","deleted far waters","ran protassign","removed non hbond waters","Potential Energy-OPLS 2005","RMS Derivative-OPLS 2005","Max Derivative-OPLS 2005","Stretch Energy-OPLS 2005","Bend Energy-OPLS 2005","LJ-14 Energy-OPLS 2005","El-14 Energy-OPLS 2005","Van der Waals Energy-OPLS 2005","Electrostatic Energy-OPLS 2005","Dihedral Energy-OPLS 2005","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","receptor","Job Name","zinc_id","smiles","chiral flag","version","ct enhanced stereo status","source file","source file index","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty"
,"1XMU - minimized","1","pdb1xmu.1","2026-06-18 14:56:17","2026-06-18 14:58:02","CATALYTIC DOMAIN OF HUMAN PHOSPHODIESTERASE 4B IN COMPLEX WITH ROFLUMILAST","1XMU",89.316,94.100,108.026,90.000,90.000,90.000,"P 21 21 21",4,"HYDROLASE","04-OCT-04","3.30",0.208000,0.246000,2.300000,"X-RAY DIFFRACTION",93.000000,10.000000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","B","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","C:\Users\RK\Desktop","pdb1xmu.ent",1,"5",true,"2018-1",true,true,true,true,true,true,true,-1552.460998,0.111392,2.771443,151.782572,547.933501,1543.965547,560.671085,-3378.325884,-1866.059562,839.427305,298.000000,true,78011,2.320,0.580,41.130,30.000,30.000,30.000,10.000,10.000,10.000,true,"glide-dock_SRMA_1XMU","","",,,,"",,,"","",,,,,,,,,,"",,,"","",,,,,,,,,,,,,,,,,,,,,
,"ligprep_ROF.sdf:1","2","glide-dock_SRMA_1XMU.2","2026-06-18 14:56:17","2026-06-18 14:58:02","","",,,,,,,"",,"","","",,,,"",,,"","","","","","",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-dock_SRMA_1XMU","ZINC000000592419","O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1",false,0,2,"ligprep_ROF.sdf",1,41011,"Q2xjMVtjSF1uW2NIXWMoQ2wpYzFbTkhdQyg9TyljMltjSF1bY0hdYyhPW0NIXShGKUYpYyhbY0hdMilPW0NIMl1bQ0hdM1tDSDJdW0NIMl0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0014,0.0000,0.0014,0.0000,0.000000,0,0,0,"OPLS_2005",33.855876,true,"ligprep_ROF.sdf:1-1","glide-grid_1XMU_4",1,8,-8.431,-0.324,-0.961,-1.980,-8.431,-4.060,-0.482,0.000,-1.279,-47.501,-7.123,0.845,-0.012,-78.721,-54.624,4.160,77,261,0.000
