title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
ZINC000000044027_chlorpramazin,-51.6762507075,-68.0397498832699,2.5243162795,-0.000671050000022433,-26.83686817663,-5.32310105080001,0.0,87.8152657812998,,-41.8154425984003,2.2963198826,0.28733576982,2.5243162818,0.0,-0.0119205016099997,0.0,0.0,-0.1172975018,,-0.386114165599999,30.1539989075,3.52621438327,17.7507771205,0.0,-4.55598032337,0.0,0.0,-13.8409690113,,27.2739567384,-14673.3854786,-10521.8733685,1452.08096957,-199.586195722,-864.821590937,-41.8066419068,-48.8536313209,-2597.53710038,,-1850.98791935,30.1539989075,3.52621438327,17.7507771205,0.0,-4.55598032337,0.0,0.0,-13.8409690113,,27.2739567384,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-53.9725705900983,-68.3270856530908,-2.29988472710829e-09,-0.000671050000022433,-26.82494767502,-5.32310105080001,0.0,87.9325632831001,,-41.4293284328003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.46077384321429,-3.69116076482143,-12.7768485657326
ZINC000000004234_Ibudilast,-44.1422329389516,-5.84118469070927,0.670084952800153,-0.457064019000001,-18.624899315,-5.2421924824,0.0,16.1340672834899,,-30.78104469752,1.07665193971,0.00891447594000017,0.670084959980001,0.0,0.0188921660700001,0.0,0.0,-0.0552149021499995,,0.433975239879999,3.67206673895,-5.10757370929,5.6926141272,0.0,-2.286410313,0.0,0.0,-4.25621002349,,9.62964665752,-14692.333393,-10468.3085914,1438.16857525,-200.042588691,-854.340052065,-41.7257333384,-48.8536313209,-2659.63353989,,-1857.59783153,3.67206673895,-5.10757370929,5.6926141272,0.0,-2.286410313,0.0,0.0,-4.25621002349,,9.62964665752,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-45.2188848786609,-5.85009916664967,-7.18000592314638e-09,-0.457064019000001,-18.64379148107,-5.2421924824,0.0,16.18928218564,,-31.2150199374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.59660193758824,-3.89490290638235,-11.515725574588
ZINC000000538312_respridone,-44.7426753850996,-78.9565669587009,2.03272591520022,-1.34914538000001,-17.3316939148401,-2.28138971910001,0.0,105.1735518171,,-52.0301572328003,2.8278527828,-0.191862574999995,2.0327259231,0.0,-0.06830999128,0.0,0.0,0.227233996100001,,0.828065429999995,-20.4173535149,-58.9230471413,25.0306010748,0.0,-2.63160328416,0.0,0.0,-18.1545031271,,34.2611989628,-14717.0232557,-10595.2394471,1458.86920316,-200.934670052,-853.392039636,-38.7649305751,-48.8536313209,-2584.49234846,,-1854.21539176,-20.4173535149,-58.9230471413,25.0306010748,0.0,-2.63160328416,0.0,0.0,-18.1545031271,,34.2611989628,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-47.5705281679002,-78.7647043837005,-7.89987097959965e-09,-1.34914538000001,-17.26338392356,-2.28138971910001,0.0,104.946317821,,-52.8582226628002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.49142251283667,-2.237133769255,-10.1660233579896
ZINC000019203912_fluphenazin,-45.9310242045995,-151.7766146671,6.46386386750009,-1.31635562,-26.87467705928,-3.3430869279,0.0,170.6787432454,,-39.7628970991,8.65014628159999,0.666072015599994,6.4638638693,0.0,-0.27411392374,0.0,0.0,0.4586915115,,1.3356328089,63.8544778046,66.7250143671,17.1086772325,0.0,-6.10280546872,0.0,0.0,-43.2171325254,,29.3407241991,-14633.9397732,-10542.4114333,1455.37841727,-200.901880292,-866.406224965,-39.8266277839,-48.8536313209,-2544.04978643,,-1846.86860639,63.8544778046,66.7250143671,17.1086772325,0.0,-6.10280546872,0.0,0.0,-43.2171325254,,29.3407241991,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-54.581170486199,-152.4426866827,-1.79989001480863e-09,-1.31635562,-26.60056313554,-3.3430869279,0.0,170.2200517339,,-41.098529908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.53103414015333,-2.29655121023,-10.4360291578774
ZINC000084758479_brexpiprazol,-53.6975791044188,-129.313591552998,-3.74936585939986,-0.90043362900002,-16.97170798293,-6.5440166181,0.0,153.5317820658,,-49.7502456109,5.0171254643,2.83399516469,-3.7493658512,0.0,4.36643456653,0.0,0.0,-4.1487454191,,5.7148070034,-9.00701779558,-6.639982447,24.0498846494,0.0,-8.66301034307,0.0,0.0,-42.0425893358,,24.2886796809,-14714.5678237,-10593.313407,1452.10639496,-200.485958301,-859.063460763,-43.0275574741,-48.8536313209,-2560.02220442,,-1861.90799942,-9.00701779558,-6.639982447,24.0498846494,0.0,-8.66301034307,0.0,0.0,-42.0425893358,,24.2886796809,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-58.7147045687198,-132.147586717689,-8.20000423118472e-09,-0.90043362900002,-21.33814254946,-6.5440166181,0.0,157.6805274849,,-55.4650526143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.73217997110968,-2.59826995666452,-12.1104497212087
ZINC000000537822_haloperidol,-55.7335864331999,-86.1163536885997,5.45324513565015,-1.07172608800002,-23.90291817343,-4.2781567973,0.0,105.8025165221,,-51.6201934488001,3.2422754769,-0.563892179099998,5.45324513985,0.0,-0.77209739218,0.0,0.0,0.6712502763,,-1.5462303678,-17.2352160668,-25.4280930114,7.01582340435,0.0,-3.40464125657,0.0,0.0,-19.3123201421,,23.8940149388,-14724.8320293,-10568.9042797,1444.27494471,-200.65725076,-860.736301867,-40.7616976533,-48.8536313209,-2585.02120077,,-1864.172612,-17.2352160668,-25.4280930114,7.01582340435,0.0,-3.40464125657,0.0,0.0,-19.3123201421,,23.8940149388,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-58.9758619100994,-85.5524615095001,-4.19981915911194e-09,-1.07172608800002,-23.13082078125,-4.2781567973,0.0,105.1312662458,,-50.0739630810001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.1435994782,-3.2153992173,-13.0888498970238
ZINC000001481956_paliperidon_2,-40.1112583967988,-78.8066412557,3.42243167130005,-1.810585164,-17.43845647746,-2.26685401970001,0.0,109.3393920107,,-52.5505451857,5.0348900274,0.666517307899998,3.4224316742,0.0,-0.0511598926699999,0.0,0.0,-0.1281207446,,1.1252216825,11.3205235968,-25.0160847443,26.5150246387,0.0,-2.62857328254,0.0,0.0,-21.7296131807,,34.1797701657,-14680.6539616,-10561.182559,1461.74333248,-201.396109836,-853.495772197,-38.7503948757,-48.8536313209,-2583.90161832,,-1854.81720851,11.3205235968,-25.0160847443,26.5150246387,0.0,-2.62857328254,0.0,0.0,-21.7296131807,,34.1797701657,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-45.1461484241991,-79.4731585636,-2.89992385660298e-09,-1.810585164,-17.38729658479,-2.26685401970001,0.0,109.4675127553,,-53.6757668682001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.2939115611871,-1.94086734178065,-9.04631803091942
ZINC000000538550_zipracidon,-45.9797920865676,-80.1189474832008,2.15242652000006,-0.843699898000011,-21.10375226607,-5.1773264666,0.0,109.5765977465,,-50.4650903059,2.905464750732,0.0848009109999985,2.1524265224,0.0,-0.24830320276,0.0,0.0,-0.376539419499998,,1.2930799394,-0.301511613432,-18.3937877168,23.46074042,0.0,-4.71150206593,0.0,0.0,-20.6075973465,,19.9506350959,-14698.1445305,-10555.8725682,1457.41904311,-200.42922457,-859.243996769,-41.6608673226,-48.8536313209,-2582.54239675,,-1866.9608887,-0.301511613432,-18.3937877168,23.46074042,0.0,-4.71150206593,0.0,0.0,-20.6075973465,,19.9506350959,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-48.8852568373004,-80.2037483942004,-2.39992914430331e-09,-0.843699898000011,-20.8554490633099,-5.1773264666,0.0,109.953137166,,-51.7581702453001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.64213543166429,-2.46320314749643,-10.6134860389452
115237,-52.7671043614409,-72.970168283,2.4795811944,-1.037506003,-18.47399906113,-2.4768558514,0.0,76.5469437010001,,-36.8351001558001,5.81478887016,0.477347558999998,2.4795295262,0.0,-0.22150663806,0.0,0.0,0.2697572925,,2.8096611304,8.25152426144,-32.378871817,27.4954506956,0.0,-2.69114056187,0.0,0.0,-19.445809761,,35.2718957058,-14696.3788069,-10562.7088731,1461.78090806,-200.623030675,-854.59388206,-38.9603967074,-48.8536313209,-2614.41026321,,-1838.00963794,8.25152426144,-32.378871817,27.4954506956,0.0,-2.69114056187,0.0,0.0,-19.445809761,,35.2718957058,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-58.5818932315997,-73.4475158419991,5.16682000579749e-05,-1.037506003,-18.2524924230701,-2.4768558514,0.0,76.2771864085003,,-39.6447612862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.70216465681935,-2.55324698522903,-11.9005991510359
ZINC000004214700_paliperidon_1,-52.87310220361,-72.9705296971006,2.48496146460025,-1.037616359,-18.4783309534899,-2.47881688090001,0.0,76.4436370253002,,-36.8364068419,5.80715408569,0.480211264899999,2.4849614649,0.0,-0.22218071034,0.0,0.0,0.2548350396,,2.80932702659999,8.25378650361,-32.3752795029,27.4951231054,0.0,-2.69123224551,0.0,0.0,-19.4467789053,,35.2719540519,-14696.4825425,-10562.7056422,1461.78596074,-200.623141031,-854.598305636,-38.9623577369,-48.8536313209,-2614.51453903,,-1838.01088628,8.25378650361,-32.3752795029,27.4951231054,0.0,-2.69123224551,0.0,0.0,-19.4467789053,,35.2719540519,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-58.680256289299,-73.4507409620001,-2.99905877909623e-10,-1.037616359,-18.2561502431499,-2.47881688090001,0.0,76.1888019857001,,-39.6457338685002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.70558394205161,-2.55837591307742,-11.9245049128957
